Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47,Sample48,Sample49,Sample50,Sample51,Sample52,Sample53,Sample54,Sample55,Sample56,Sample57,Sample58,Sample59,Sample60,Sample61,Sample62,Sample63,Sample64,Sample65,Sample66,Sample67,Sample68,Sample69,Sample70,Sample71,Sample72,Sample73,Sample74,Sample75,Sample76,Sample77,Sample78,Sample79,Sample80,Sample81,Sample82,Sample83,Sample84,Sample85,Sample86,Sample87,Sample88,Sample89,Sample90,Sample91,Sample92,Sample93,Sample94,Sample95,Sample96,Sample97,Sample98,Sample99,Sample100,Sample101,Sample102,Sample103,Sample104,Sample105,Sample106,Sample107,Sample108,Sample109,Sample110,Sample111,Sample112,Sample113,Sample114,Sample115,Sample116,Sample117,Sample118,Sample119,Sample120,Sample121,Sample122,Sample123,Sample124,Sample125,Sample126,Sample127,Sample128,Sample129,Sample130,Sample131,Sample132,Sample133,Sample134,Sample135,Sample136,Sample137,Sample138,Sample139,Sample140,Sample141,Sample142,Sample143,Sample144,Sample145,Sample146,Sample147,Sample148,Sample149,Sample150,Sample151,Sample152,Sample153,Sample154,Sample155,Sample156,Sample157,Sample158,Sample159,Sample160,Sample161,Sample162,Sample163,Sample164,Sample165,Sample166,Sample167,Sample168,Sample169,Sample170,Sample171,Sample172,Sample173,Sample174,Sample175,Sample176,Sample177,Sample178,Sample179,Sample180,Sample181,Sample182,Sample183,Sample184,Sample185,Sample186,Sample187,Sample188,Sample189,Sample190,Sample191,Sample192,Sample193,Sample194,Sample195,Sample196,Sample197,Sample198,Sample199,Sample200,Sample201,Sample202,Sample203,Sample204,Sample205,Sample206,Sample207,Sample208,Sample209,Sample210,Sample211,Sample212,Sample213,Sample214,Sample215,Sample216,Sample217,Sample218,Sample219,Sample220,Sample221,Sample222,Sample223,Sample224,Sample225,Sample226,Sample227,Sample228,Sample229,Sample230,Sample231,Sample232,Sample233,Sample234,Sample235,Sample236,Sample237,Sample238,Sample239,Sample240,Sample241,Sample242,Sample243,Sample244,Sample245,Sample246,Sample247,Sample248,Sample249,Sample250,Sample251,Sample252,Sample253,Sample254,Sample255,Sample256,Sample257,Sample258,Sample259,Sample260,Sample261,Sample262,Sample263,Sample264,Sample265,Sample266,Sample267,Sample268,Sample269,Sample270,Sample271
left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right
0.33364,0.62579,0,0,0.56233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01711,0,0,0,0,0,0,0,0,0.0259,0,0,0,0,0.01411,0,0,0,0,1.28245,0.00271,0.00582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25484,0,0,0.0994,0,0,0,0,0,0,2.87741,0,0.00353,0.11941,0,0,0,0,0,0.32451,0,0,0.00578,0,0,0,0.22015,0,0,0,0,0,0,0,0,1.40808,0.03199,0,0,0,0.0418,0.00118,0,0,0,0,0.25253,0,0,0,0.01486,0,0,1.19754,0.00301,0,0,0,0,0.1395,0.11889,0,0,0,0,0,0,0,0,0.00559,0,0.00325,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01488,0,0,0,0,1.46853,0,0,10.13038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00851,0,0,0,0,0,0,0,0,0.0235,0.98946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79779,0,0.12141,0,0,0,0,0.03182,0.00688,0,0,0.46757,0,0,0,0.13103,0,0,0,0,0,0,0,0,0,0.92517,0,0,0,0,0,0,0,4.94008,0,0,0.03616,0,0,0,0,0,0,1.28378,0,0,4.18694,0,0,0,0,0,0,0,0.22378,0,0,0,0,0,6.11234,0,0,0,0,0,0,0,0
0.33364,0.62579,0,0,0.56233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01711,0,0,0,0,0,0,0,0,0.0259,0,0,0,0,0.01411,0,0,0,0,1.28245,0.00271,0.00582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25484,0,0,0.0994,0,0,0,0,0,0,2.87741,0,0.00353,0.11941,0,0,0,0,0,0.32451,0,0,0.00578,0,0,0,0.22015,0,0,0,0,0,0,0,0,1.40808,0.03199,0,0,0,0.0418,0.00118,0,0,0,0,0.25253,0,0,0,0.01486,0,0,1.19754,0.00301,0,0,0,0,0.1395,0.11889,0,0,0,0,0,0,0,0,0.00559,0,0.00325,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01488,0,0,0,0,1.46853,0,0,10.13038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00851,0,0,0,0,0,0,0,0,0.0235,0.98946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79779,0,0.12141,0,0,0,0,0.03182,0.00688,0,0,0.46757,0,0,0,0.13103,0,0,0,0,0,0,0,0,0,0.92517,0,0,0,0,0,0,0,4.94008,0,0,0.03616,0,0,0,0,0,0,1.28378,0,0,4.18694,0,0,0,0,0,0,0,0.22378,0,0,0,0,0,6.11234,0,0,0,0,0,0,0,0
0.33364,0.62579,0,0,0.56233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01711,0,0,0,0,0,0,0,0,0.0259,0,0,0,0,0.01411,0,0,0,0,1.28245,0.00271,0.00582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25484,0,0,0.0994,0,0,0,0,0,0,2.87741,0,0.00353,0.11941,0,0,0,0,0,0.32451,0,0,0.00578,0,0,0,0.22015,0,0,0,0,0,0,0,0,1.40808,0.03199,0,0,0,0.0418,0.00118,0,0,0,0,0.25253,0,0,0,0.01486,0,0,1.19754,0.00301,0,0,0,0,0.1395,0.11889,0,0,0,0,0,0,0,0,0.00559,0,0.00325,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01488,0,0,0,0,1.46853,0,0,10.1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00851,0,0,0,0,0,0,0,0,0.0235,0.98346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79209,0,0.12141,0,0,0,0,0.03182,0.00688,0,0,0.46757,0,0,0,0.13103,0,0,0,0,0,0,0,0,0,0.92517,0,0,0,0,0,0,0,4.93606,0,0,0.03616,0,0,0,0,0,0,1.28378,0,0,4.18694,0,0,0,0,0,0,0,0.22378,0,0,0,0,0,6.10627,0,0,0,0,0,0,0,0
0.33364,0.62579,0,0,0.56233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01711,0,0,0,0,0,0,0,0,0.0259,0,0,0,0,0.01411,0,0,0,0,1.28245,0.00271,0.00582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25484,0,0,0.0994,0,0,0,0,0,0,2.87741,0,0.00353,0.11941,0,0,0,0,0,0.32451,0,0,0.00578,0,0,0,0.22015,0,0,0,0,0,0,0,0,1.40808,0.03199,0,0,0,0.0418,0.00118,0,0,0,0,0.25253,0,0,0,0.01486,0,0,1.19754,0.00301,0,0,0,0,0.1395,0.11889,0,0,0,0,0,0,0,0,0.00559,0,0.00325,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01488,0,0,0,0,1.46853,0,0,10.1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00851,0,0,0,0,0,0,0,0,0.0235,0.98346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79209,0,0.12141,0,0,0,0,0.03182,0.00688,0,0,0.46757,0,0,0,0.13103,0,0,0,0,0,0,0,0,0,0.92517,0,0,0,0,0,0,0,4.93606,0,0,0.03616,0,0,0,0,0,0,1.28378,0,0,4.18694,0,0,0,0,0,0,0,0.22378,0,0,0,0,0,6.10627,0,0,0,0,0,0,0,0
0.33364,0.62579,0,0,0.56233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01711,0,0,0,0,0,0,0,0,0.0259,0,0,0,0,0.01411,0,0,0,0,1.28245,0.00271,0.00582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25484,0,0,0.0994,0,0,0,0,0,0,2.87741,0,0.00353,0.11941,0,0,0,0,0,0.32451,0,0,0.00578,0,0,0,0.22015,0,0,0,0,0,0,0,0,1.40808,0.03199,0,0,0,0.0418,0.00118,0,0,0,0,0.25253,0,0,0,0.01486,0,0,1.19754,0.00301,0,0,0,0,0.1395,0.11889,0,0,0,0,0,0,0,0,0.00559,0,0.00325,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01488,0,0,0,0,1.46853,0,0,10.1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00851,0,0,0,0,0,0,0,0,0.0235,0.98346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79209,0,0.12141,0,0,0,0,0.03182,0.00688,0,0,0.46757,0,0,0,0.13103,0,0,0,0,0,0,0,0,0,0.92517,0,0,0,0,0,0,0,4.93606,0,0,0.03616,0,0,0,0,0,0,1.28378,0,0,4.18694,0,0,0,0,0,0,0,0.22378,0,0,0,0,0,6.10627,0,0,0,0,0,0,0,0
0.33364,0.62579,0,0,0.56233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01711,0,0,0,0,0,0,0,0,0.02294,0,0,0,0,0.01411,0,0,0,0,1.28245,0.00271,0.00582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24221,0,0,0.0994,0,0,0,0,0,0,2.87741,0,0.00353,0.11941,0,0,0,0,0,0.32451,0,0,0.00578,0,0,0,0.22015,0,0,0,0,0,0,0,0,1.40702,0.03199,0,0,0,0,0,0,0,0,0,0.25253,0,0,0,0.01486,0,0,1.19754,0.00301,0,0,0,0,0.1395,0,0,0,0,0,0,0,0,0,0.00559,0,0.00325,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01488,0,0,0,0,0.92459,0,0,9.10294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00851,0,0,0,0,0,0,0,0,0.0235,0.98346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79209,0,0.07322,0,0,0,0,0.03182,0.00688,0,0,0.46757,0,0,0,0.07853,0,0,0,0,0,0,0,0,0,0.92517,0,0,0,0,0,0,0,4.93606,0,0,0.03616,0,0,0,0,0,0,1.28378,0,0,4.18694,0,0,0,0,0,0,0,0.22378,0,0,0,0,0,6.10627,0,0,0,0,0,0,0,0
0.33364,0.49776,0,0,0.49446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00587,0,0,0,0,0,0,0,0,0.01322,0,0,0,0,0.00664,0,0,0,0,1.1747,0,0.00537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22295,0,0,0.0994,0,0,0,0,0,0,2.57532,0,0,0.10509,0,0,0,0,0,0.32451,0,0,0.00218,0,0,0,0.14814,0,0,0,0,0,0,0,0,1.40702,0.03122,0,0,0,0,0,0,0,0,0,0.19884,0,0,0,0.01486,0,0,1.19754,0.00301,0,0,0,0,0.10662,0,0,0,0,0,0,0,0,0,0.00451,0,0.00325,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00428,0,0,0,0,0.72372,0,0,7.73355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00851,0,0,0,0,0,0,0,0,0.0235,0.97357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77267,0,0.05573,0,0,0,0,0.03182,0.00442,0,0,0.46757,0,0,0,0.06823,0,0,0,0,0,0,0,0,0,0.79903,0,0,0,0,0,0,0,4.6792,0,0,0,0,0,0,0,0,0,1.12187,0,0,3.93862,0,0,0,0,0,0,0,0.22378,0,0,0,0,0,5.30112,0,0,0,0,0,0,0,0
0.33364,0.49776,0,0,0.49446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00587,0,0,0,0,0,0,0,0,0.01322,0,0,0,0,0.00664,0,0,0,0,1.1747,0,0.00537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22295,0,0,0.0994,0,0,0,0,0,0,2.57532,0,0,0.10509,0,0,0,0,0,0.32451,0,0,0.00218,0,0,0,0.14814,0,0,0,0,0,0,0,0,1.40702,0.03122,0,0,0,0,0,0,0,0,0,0.19884,0,0,0,0.01486,0,0,1.19754,0.00301,0,0,0,0,0.10662,0,0,0,0,0,0,0,0,0,0.00451,0,0.00325,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00428,0,0,0,0,0.72372,0,0,7.73355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00851,0,0,0,0,0,0,0,0,0.0235,0.97357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77267,0,0.05573,0,0,0,0,0.03182,0.00442,0,0,0.46757,0,0,0,0.06823,0,0,0,0,0,0,0,0,0,0.79903,0,0,0,0,0,0,0,4.6792,0,0,0,0,0,0,0,0,0,1.12187,0,0,3.93862,0,0,0,0,0,0,0,0.22378,0,0,0,0,0,5.30112,0,0,0,0,0,0,0,0
0,0.12802,0,0,0.06786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01124,0,0,0,0,0,0,0,0,0.00972,0,0,0,0,0.00746,0,0,0,0,0.10775,0.00271,0.00046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01926,0,0,0,0,0,0,0,0,0,0.30209,0,0.00353,0.01432,0,0,0,0,0,0,0,0,0.0036,0,0,0,0.07201,0,0,0,0,0,0,0,0,0,0.00077,0,0,0,0,0,0,0,0,0,0.05368,0,0,0,0,0,0,0,0,0,0,0,0,0.03287,0,0,0,0,0,0,0,0,0,0.00108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106,0,0,0,0,0.20088,0,0,1.3694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01942,0,0.01749,0,0,0,0,0,0.00246,0,0,0,0,0,0,0.0103,0,0,0,0,0,0,0,0,0,0.12614,0,0,0,0,0,0,0,0.25686,0,0,0.03616,0,0,0,0,0,0,0.16191,0,0,0.24832,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80514,0,0,0,0,0,0,0,0
